20220911 02:39:55 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:56 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:56 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:56 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:56 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:57 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:58 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:58 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:58 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:58 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:59 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:59 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:59 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:39:59 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:00 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:00 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:00 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:00 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:01 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:01 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:01 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:02 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:02 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:02 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:02 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:03 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:03 | INFO    | fcu.py  [line:39] - 本科目名額目前已額滿 ! (選課代號：3040)
20220911 02:40:03 | INFO    | login.py  [line:49] - 登入成功
